epoch,train_loss,validation_loss,validation_macro_f1
1,0.587950704933761,0.3767391421320118,0.9192922922552311
2,0.171696902745177,0.19137038277599203,0.9835604739707504
3,0.1120493018339649,0.10580318853323593,0.9978701090419051
4,0.08299007355226877,0.0803152315673374,0.9986079950869312
5,0.06375598078092529,0.06026044270241415,0.9986141632515689
6,0.054447298230178284,0.061278893963083045,0.9981562774363477
7,0.04942887952354268,0.05297209091839336,0.9981562774363477
8,0.0404653460589101,0.048607398114808194,1.0
9,0.035115854216805194,0.04945599384509124,0.9986141632515689
10,0.03321784002799714,0.07996361801054054,0.9981480927399455
11,0.03079817180067356,0.0443575687190413,0.9981562774363477
12,0.027491125863923212,0.043226490401989455,0.9981562774363477
13,0.024925178725528144,0.03886854686488063,0.9981562774363477
14,0.022062358282271474,0.04882460819694387,0.9974122232266838
15,0.021262256881301612,0.06366312587674046,0.9981562774363477
16,0.027626608361892666,0.04960181780998067,0.9981562774363477
17,0.0236363989406426,0.049517793105149165,0.9974122232266838
18,0.019548965268984354,0.0491958288919358,0.9981562774363477
19,0.016543457802931098,0.06659330418776899,0.9981398282260501
20,0.022720668288656203,0.049863685341753484,0.9981562774363477
