epoch,train_loss,validation_loss,validation_macro_f1
1,0.8186503613371132,0.48018759192326366,0.7914878754128043
2,0.4018121305887686,0.2750090786227674,0.8840342577224154
3,0.28815263636921684,0.22572624468087377,0.9256437154904318
4,0.23242299748042078,0.20630740457782884,0.9346258242281816
5,0.20182435217284095,0.17181587253910896,0.9476412109729717
6,0.18493511502895374,0.1686889159017408,0.9406266602529287
7,0.16197488707160243,0.15725779284630373,0.9473425977229607
8,0.1446484353303467,0.18176963181513084,0.937049052999108
9,0.13251443254262044,0.17504679426365408,0.9457075699429239
10,0.12625132769290945,0.2011154311612345,0.9368753601836128
11,0.10533565922825146,0.18261154945607164,0.9297238475331191
12,0.10916114923352434,0.14524551348718392,0.9475649111841639
13,0.09746808618832387,0.2855983920923527,0.9237573098827789
14,0.09600878900853513,0.20678943563786886,0.9337372158467252
15,0.08105634647751563,0.23198212777643396,0.9075423584045327
16,0.08241947766580034,0.15568786191358935,0.9383456435135802
17,0.08374804704828474,0.1352795441634953,0.9482960449510046
18,0.09232844976303971,0.13622159374579465,0.9447656211606099
19,0.06942880453614446,0.2511011128781517,0.9252281841452064
20,0.06463301400196132,0.16500570418542954,0.9400350566688989
21,0.05636667829276458,0.18721518602405646,0.9443251628275766
22,0.07622160300861264,0.1529368399816275,0.9509095923771087
23,0.05301167227756336,0.23635796159233705,0.9391953020812582
24,0.06309673022858951,0.19723511872001978,0.937193721094709
25,0.055108105013896895,0.20567178301444153,0.9353590596975372
26,0.0547282651122072,0.15122305976329734,0.9530337137087966
27,0.04868932996560337,0.181822912291159,0.9493854804632336
28,0.04476392691426242,0.2265187179693928,0.9365237188343787
29,0.04193195592826284,0.2067237642229065,0.9446686401637743
30,0.03911305635006397,0.26001428632153595,0.928982264579786
31,0.04242654999023466,0.23701505845991414,0.9409119724652256
32,0.04124702062589118,0.21417969676126217,0.9421197198090331
33,0.038796693819241536,0.1953829673741409,0.9487798329576436
34,0.03214982279847637,0.2856404857316409,0.9400923893923158
35,0.034985737087194685,0.3221777431060584,0.9360250306235824
36,0.033557522648008944,0.14803740275477326,0.9561627942271437
37,0.03722166328074096,0.15165223656849658,0.9540344788198557
38,0.03954021937122261,0.150970171037313,0.9556314392405125
39,0.048013087051034194,0.2271218125187304,0.9446988869885811
40,0.02755530068308723,0.20276198520358385,0.9485221359706547
41,0.02561526648796998,0.2618961582666246,0.9352324199928106
42,0.023338187966281496,0.25051758429274296,0.9474118680645831
43,0.02418989480122343,0.13759152953423134,0.9569893220659274
44,0.03746638829942537,0.23424538059971303,0.9413798268766025
45,0.02864382530049402,0.1645059551394447,0.9587047655214651
46,0.03145735316904666,0.2670484251625941,0.9468081810737803
47,0.031077073769495304,0.35522176077592166,0.9070662035368413
48,0.025732246453913553,0.3537416892759053,0.9222719032511852
49,0.022328740932697048,0.29813757842054867,0.9399207359039077
50,0.02064514066160057,0.1717000374434671,0.953257586820079
51,0.02820500163862513,0.19577744495447671,0.9483852681318691
52,0.026210088364033508,0.2318134542958858,0.9452086653405041
53,0.027452609036981726,0.20960297244309284,0.9527994993750595
54,0.03577861426215004,0.24862528897623343,0.944345167657478
55,0.018872024035271332,0.2401262063381123,0.9467600041022889
56,0.01655559296718002,0.18783078180513652,0.9538454839806383
57,0.01697825526054914,0.23337914245761276,0.9390738491101605
