variant,trainable_parameters,accuracy_mean_percent,accuracy_sd_percentage_points,balanced_accuracy_mean_percent,balanced_accuracy_sd_percentage_points,macro_f1_mean_percent,macro_f1_sd_percentage_points,mean_session_macro_f1_percent,target_trial_accuracy_percent
emg_only,59080,84.97023809523809,2.5326539711037364,87.23028273809523,2.7812823205003077,85.33081557440765,2.89236352231443,85.56656823613773,91.66666666666666
imu_only,21416,95.07575757575758,0.8130400000712471,93.59188988095238,0.8845716873606011,94.08640135957314,0.9568669414801609,94.03226809560394,98.21428571428571
fixed_50_50,80496,99.67532467532467,0.25344959409084544,99.55357142857143,0.34849319187490696,99.63626149311942,0.3441738225440426,99.633395498477,100.0
learned_neutral,80504,99.68885281385282,0.23077275580671402,99.57217261904762,0.317312539234223,99.6480288648458,0.3241609438439655,99.64581383296365,100.0
learned_physics,80504,99.70238095238095,0.023431423262569393,99.59077380952381,0.03221820698602731,99.66669774254923,0.028227433505619577,99.66420422702966,100.0
