epoch,train_loss,validation_loss,validation_macro_f1
1,0.7159848733492375,0.3688995678187449,0.9765320439208939
2,0.19172864228984643,0.17890287555141365,0.9945449447767797
3,0.12008453775646515,0.11227431345037568,0.9978701090419051
4,0.08632422123857686,0.08027088942078801,0.9990740659088704
5,0.07092214323207045,0.1076465578693332,0.9981562774363477
6,0.05879202801630537,0.06713405122488608,0.9981562774363477
7,0.05013057885342494,0.06274951223558162,0.9981562774363477
8,0.043973420568653734,0.06234758061828551,0.9966681294719215
9,0.03692360670203844,0.06377874424447229,0.9986141632515689
10,0.03366047804674103,0.053612424326794486,0.9981562774363477
11,0.04040711884540618,0.05913943540933844,0.9981562774363477
12,0.03024798981389221,0.06020227154450757,0.9981562774363477
13,0.028361124033194747,0.05574579586907899,0.9966745982215441
14,0.026343521995535586,0.04887396093151528,0.9981562774363477
15,0.024640984798683086,0.06990814826640732,0.995001894707032
16,0.022838120906853943,0.07325433817131695,0.9981562774363477
