epoch,train_loss,validation_loss,validation_macro_f1
1,0.8916326432259052,0.7576687495945852,0.6531019043680251
2,0.3215705065094695,0.41565545761223993,0.8782436020241609
3,0.17375541590361515,0.26509894856384825,0.9255292716413883
4,0.11836322875268385,0.2377639945064272,0.8924954120162946
5,0.08958720484254312,0.20047848445899558,0.9484490109782756
6,0.08738118705922022,0.22190958358250656,0.9010447582342704
7,0.0698971795004573,0.21158315467111993,0.9042090876582112
8,0.057020648028390526,0.1460499136156334,0.9471001395813897
9,0.04967263475032817,0.2112933033472532,0.9147471422556102
10,0.05247271813604296,0.2193566378189888,0.8875641748853963
11,0.042550379773239035,0.23866669311151875,0.9058188287235516
12,0.036312067044936884,0.2224875417622653,0.9037251863926021
13,0.04026054038712841,0.18545398780535827,0.9247942284762101
14,0.0326899969967597,0.13921611781889226,0.9541733624919142
15,0.04508523423577173,0.2546816019268779,0.9006427077400216
16,0.03233077092846105,0.344517697697078,0.8528422470325976
17,0.027441007194000406,0.14138573016245642,0.9488222349322165
18,0.023766658246406596,0.26446408426864837,0.8938758240057285
19,0.02584100097196664,0.20259201907234275,0.9118455335332494
20,0.020047336820243462,0.1609639311249638,0.9409992379773398
21,0.024119628773024218,0.17728229952387478,0.9302345798080053
22,0.015805264952176136,0.16337336425657395,0.9292757904658756
23,0.017747988447491668,0.1398828372810826,0.9475048634655006
24,0.012402462773025036,0.16983329878870027,0.9342127931417344
25,0.013666644816827686,0.1850058649590005,0.9252444633907433
26,0.021004551303692175,0.2607445658156366,0.9020758646556027
