epoch,train_loss,validation_loss,validation_macro_f1
1,0.6799538215701788,0.34007904256061045,0.9825582641136383
2,0.18552379437302394,0.17091264069338383,0.9987919507042651
3,0.11398253746068102,0.09702936763113196,0.9986141632515689
4,0.08197615243121291,0.07680699335677284,0.9986079950869312
5,0.06200823784980349,0.06088534884509586,0.9986141632515689
6,0.05300646378263029,0.056666681534929195,0.9981562774363477
7,0.047554276710815024,0.055579962652354015,0.9981562774363477
8,0.03825910083244594,0.05179212239139524,0.9990740659088704
9,0.03351207868868212,0.0473137887767254,0.9976902073394052
10,0.03129523496639419,0.07554724696394685,0.9964531372864607
11,0.02868875336931787,0.04933963899875616,0.9981562774363477
12,0.027027044956726136,0.043483740379993537,0.9981562774363477
13,0.02278833478820512,0.03784215588170987,0.9981562774363477
14,0.020546597851948303,0.04254118640185434,0.9986141632515689
15,0.01827523635496456,0.043431446939964834,0.9981562774363477
16,0.02059901525060852,0.058786911583501536,0.9981562774363477
17,0.021803669880294623,0.04400466623599137,0.9981562774363477
18,0.02042466992640208,0.0741607959491092,0.9981562774363477
19,0.01789924697967761,0.07710034661478811,0.9973835311172505
20,0.020143661278270615,0.048710431137577795,0.9977003891817546
